"id_10" "name_10" "id_06" "name_06" "id_mrb" "name_mrb"
"1" 1 "Body mass index" "UIgWMz" "Body mass index || GIANT || 2015 || SD (kg/m^2)" "2" "Body mass index"
"2" 2 "Subjective well being" "0fwVYD" "Subjective well being || SSGAC || 2016 || SD" "1009" "Subjective well being"
"3" 3 "Years of schooling" "ff07mD" "Years of schooling || SSGAC || 2016 || SD (years)" "1001" "Years of schooling"
"4" 4 "Height" "y7zjuE" "Height || GIANT || 2014 || SD (m)" "89" "Height"
"5" 5 "Hip circumference" "1Ss7VA" "Hip circumference || GIANT || 2015 || SD (cm)" "48" "Hip circumference"
"6" 6 "Waist circumference" "COJ1Z3" "Waist circumference || GIANT || 2015 || SD (cm)" "60" "Waist circumference"
"7" 7 "Waist-to-hip ratio" "5xHoe0" "Waist-to-hip ratio || GIANT || 2015 || SD" "72" "Waist-to-hip ratio"
"8" 8 "Total cholesterol" "GKNhIp" "Total cholesterol || GLGC || 2013 || SD (mg/dL)" "301" "Total cholesterol"
"9" 9 "HDL cholesterol" "pUcyM0" "HDL cholesterol || GLGC || 2013 || SD (mg/dL)" "299" "HDL cholesterol"
"10" 10 "Coronary heart disease" "RZ20D1" "Coronary heart disease || CARDIoGRAMplusC4D || 2015 || log odds" "7" "Coronary heart disease"
"11" 11 "Age at menarche" "Vd0KqW" "Age at menarche || ReproGen || 2014 || years" "1095" "Age at menarche"
"12" 12 "Triglycerides" "7BtVc1" "Triglycerides || GLGC || 2013 || SD (mg/dL)" "302" "Triglycerides"
"13" 13 "LDL cholesterol" "heLSYq" "LDL cholesterol || GLGC || 2013 || SD (mg/dL)" "300" "LDL cholesterol"
"14" 14 "Myocardial infarction" "K8AcWZ" "Myocardial infarction || CARDIoGRAMplusC4D || 2015 || log odds" "798" "Myocardial infarction"
"15" 15 "Neuroticism" "qv1zVI" "Neuroticism || SSGAC || 2016 || SD" "1007" "Neuroticism"
"16" 16 "Depressive symptoms" "MmZhGK" "Depressive symptoms || SSGAC || 2016 || SD" "1000" "Depressive symptoms"
"17" 17 "Overweight" "MlCdEd" "Overweight || GIANT || 2013 || log odds" "93" "Overweight"
"18" 18 "Birth weight" "LkEsfQ" "Birth weight || NA || 2016 || SD" "1084" "Birth weight"
"19" 19 "Serum creatinine (eGFRcrea)" "7QlTBU" "Serum creatinine (eGFRcrea) || CKDGen || 2015 || log ml/min/1.73 m^2" "1105" "Serum creatinine (eGFRcrea)"
"20" 20 "Chronotype" "rrby4h" "Chronotype || UK Biobank || 2016 || SD" "1087" "Chronotype"
"21" 21 "Sleep duration" "fJZLd5" "Sleep duration || UK Biobank || 2016 || SD" "1088" "Sleep duration"
"22" 22 "Chronic kidney disease" "XWteUj" "Chronic kidney disease || CKDGen || 2015 || log odds" "1102" NA
"23" 23 "Type 2 diabetes" "IPJRhi" "Type 2 diabetes || DIAGRAM || 2014 || log odds" "23" "Type 2 diabetes"
"24" 24 "Urate" "KLAwpz" "Urate || GUGC || 2013 || mg/dl" "1055" "Urate"
"25" 25 "Body fat" "ucs4Uo" "Body fat || NA || 2016 || SD" "999" "Body fat"
"26" 26 "Obesity class 1" "smCaVj" "Obesity class 1 || GIANT || 2013 || log odds" "90" "Obesity class 1"
"27" 27 "College completion" "5UowGw" "College completion || SSGAC || 2013 || log odds" "836" "College completion"
"28" 28 "Heart rate" "5zNndt" "Heart rate || HRgene consortium || 2013 || beats per minute" "1056" "Heart rate"
"29" 29 "Schizophrenia" "BwT3Tw" "Schizophrenia || PGC || 2014 || log odds" "22" "Schizophrenia"
"30" 30 "Rheumatoid arthritis" "8QKAYW" "Rheumatoid arthritis || NA || 2014 || log odds" "833" "Rheumatoid arthritis"
"31" 31 "Top 1 % survival" "PFo3uI" "Top 1 % survival || UK Biobank || 2016 || log odds" "1091" "Top 1 % survival"
"32" 32 "Father's age at death" "VRQIyf" "Father's age at death || UK Biobank || 2016 || SD" "1092" "Father's age at death"
"33" 33 "Mother's age at death" "VHMiz0" "Mother's age at death || UK Biobank || 2016 || SD" "1093" "Mother's age at death"
"34" 34 "Parents' age at death" NA NA "1094" "Parents' age at death"
"35" 35 "Ever vs never smoked" NA NA "962" "Ever vs never smoked"
"36" 36 "Obesity class 2" "MkoKZX" "Obesity class 2 || GIANT || 2013 || log odds" "91" "Obesity class 2"
"37" 37 "Haemoglobin concentration" "MT8LG7" "Haemoglobin concentration || HaemGen || 2012 || g/dL" "270" "Haemoglobin concentration"
"38" 38 "Gout" "4deGAB" "Gout || GUGC || 2013 || log odds" "1054" "Gout"
"39" 39 "Age at menopause" "Uf24Iu" "Age at menopause || ReproGen || 2015 || years" "1004" "Age at menopause"
"40" 40 "Mean cell volume" "8MLgaw" "Mean cell volume || HaemGen || 2012 || fl" "273" "Mean cell volume"
"41" 41 "Cigarettes smoked per day" "8HAPBV" "Cigarettes smoked per day || TAG || 2010 || Cigarettes per day" "961" "Cigarettes smoked per day"
"42" 42 "Mean cell haemoglobin concentration" "EEIXZK" "Mean cell haemoglobin concentration || HaemGen || 2012 || g/dL" "272" "Mean cell haemoglobin concentration"
"43" 43 "Mean platelet volume" "ogLlbA" "Mean platelet volume || HaemGen || 2011 || log fl" "1006" "Mean platelet volume"
"44" 44 "Platelet count" "nwJLHA" "Platelet count || HaemGen || 2011 || 1x10^9/l" "1008" "Platelet count"
"45" 45 "Red blood cell count" "BvFJPz" "Red blood cell count || HaemGen || 2012 || 10^12/L" "275" "Red blood cell count"
"46" 46 "Mean cell haemoglobin" "dfSluX" "Mean cell haemoglobin || HaemGen || 2012 || pg" "271" "Mean cell haemoglobin"
"47" 47 "Packed cell volume" "s9RdoV" "Packed cell volume || HaemGen || 2012 || %" "274" "Packed cell volume"
"48" 48 "PGC cross-disorder traits" "rsmqUB" "PGC cross-disorder traits || PGC || 2013 || log odds" "803" "PGC cross-disorder traits"
"49" 49 "Fasting glucose" "VoX8gN" "Fasting glucose || MAGIC || 2012 || mmol/L" "773" "Fasting glucose"
"50" 50 "Urinary albumin-to-creatinine ratio" "RFs3S1" "Urinary albumin-to-creatinine ratio || CKDGen || 2015 || log mg/g" "1107" "Urinary albumin-to-creatinine ratio"
"51" 51 "Alzheimer's disease" "LhbHDx" "Alzheimer's disease || IGAP || 2013 || log odds" "297" "Alzheimer's disease"
"52" 52 "Microalbuminuria" "6MSZmL" "Microalbuminuria || CKDGen || 2015 || log odds" "1097" "Microalbuminuria"
"53" 53 "Fasting insulin" "Coio9h" "Fasting insulin || MAGIC || 2013 || log pmol/L" "775" "Fasting insulin"
"54" 54 "Obesity class 3" "Lkvo4b" "Obesity class 3 || GIANT || 2013 || log odds" "92" "Obesity class 3"
"55" 55 "Age of smoking initiation" NA NA "964" "Age of smoking initiation"
"56" 56 "HbA1C" "PHwcjC" "HbA1C || MAGIC || 2010 || %" "758" "HbA1C"
"57" 57 "HOMA-B" "inEcpB" "HOMA-B || MAGIC || 2011 || log HOMA" "770" "HOMA-B"
